x,vx,y,vy
-2.402051101398730459e+00,9.977189254250392381e+00,-7.535038820355016709e-01,9.985961310257172485e+00
-1.122460547513012941e+00,9.910953120660263238e+00,-1.118062721731405418e-02,9.949842871526287880e+00
1.580148787916828557e+00,1.009898797053299901e+01,-1.960483176958360829e-02,9.983826339514626724e+00
3.076051869081359857e+00,9.912752378959881483e+00,5.078150059048165410e-01,9.976431193508489059e+00
2.901140038910027918e+00,9.926255421746839502e+00,3.930251677180676584e+00,9.971021672362496702e+00
3.477910728731127499e+00,9.996663337416498152e+00,6.203260428936754778e+00,9.927189222146978409e+00
7.531697766240159631e+00,9.906214088037090804e+00,6.995650010138703578e+00,1.008215824970427121e+01
6.956985855678772701e+00,1.007200085639064646e+01,7.016992666486631336e+00,1.008755575111550407e+01
9.651620183530942754e+00,9.969660381006550054e+00,7.807067647361999541e+00,1.003300856222989346e+01
8.850439556606625402e+00,1.001096445692109960e+01,8.682545468440414638e+00,1.000163838323397059e+01
1.186168874398744144e+01,9.958045094293282773e+00,9.496199470528543074e+00,9.904563909918215003e+00
1.318269548403230829e+01,9.930951024723333020e+00,1.284955468319898664e+01,9.998567229687939317e+00
1.415890978616500995e+01,1.001512902169865882e+01,1.270205851925161156e+01,9.970875302663166906e+00
1.085132634803676055e+01,1.000806710097011276e+01,1.498880878536123262e+01,1.005800182791113606e+01
1.575522363510168589e+01,1.004714633176917715e+01,1.322016604242884696e+01,1.005622156252251642e+01
1.484786262336831442e+01,9.933145299584138499e+00,1.692264656934088407e+01,1.008134517666501395e+01
1.409263904568919656e+01,9.951742956451459676e+00,1.777972235532634926e+01,9.957207277320978989e+00
1.602635809751255991e+01,1.006634262265993840e+01,1.490499272560809807e+01,1.001413948860609082e+01
1.951401810220466615e+01,1.000230930354723569e+01,1.573983577008743495e+01,9.933393385783016782e+00
1.715857714327620087e+01,1.008688740693046526e+01,1.659694206629913182e+01,1.008282964737771081e+01
2.199421858326085655e+01,1.001443044897963830e+01,2.232809194931333252e+01,9.942381086686257419e+00
1.964212137660829782e+01,1.000099510768944455e+01,2.167658120342098016e+01,1.003111390826316196e+01
2.134262727215009647e+01,1.001255364598686093e+01,2.407601408923981623e+01,1.001139703232020040e+01
2.256026779579084973e+01,9.999169951007772283e+00,2.287951577689253568e+01,9.973425823564189940e+00
2.331331896711160923e+01,9.983055747247673750e+00,2.512509822818660155e+01,9.995237383097057560e+00
2.330283837396298097e+01,9.985399346845893476e+00,2.615937610090316312e+01,1.001608862698488345e+01
2.393311722743059633e+01,9.988704308994462266e+00,2.370608688986865076e+01,9.947462754603176194e+00
2.772661599336787575e+01,9.932304264438391428e+00,2.658647793950046179e+01,1.006045600784834981e+01
2.554000786306964699e+01,9.979436778338321545e+00,2.618937388219139706e+01,1.009240850272989931e+01
2.774514733837703773e+01,1.002494699009630885e+01,3.064088996142636034e+01,1.007882802187305948e+01
2.769346415478926104e+01,9.984976468883559164e+00,3.224090797670589836e+01,9.984826616071314831e+00
3.121451723981144966e+01,9.917225121939074128e+00,3.243022413055076925e+01,9.970911631889071813e+00
3.344707739816060865e+01,9.902492461280969493e+00,3.250116811172716780e+01,9.950447172495453074e+00
3.163727139275134803e+01,1.005582125206772126e+01,3.122470512248890628e+01,1.007841847401810753e+01
3.589797797503706533e+01,9.981963935597542914e+00,3.576952166072786810e+01,9.938421473816836382e+00
3.453190643003715365e+01,1.002318750326118568e+01,3.450729743933033689e+01,9.916542688024906127e+00
3.689153484378430647e+01,1.004344675484731653e+01,3.817330149199320033e+01,1.003545008765961732e+01
3.620983809032573220e+01,9.929159233385256300e+00,3.623018206033543009e+01,1.006457886411735991e+01
3.647248436726167853e+01,9.932998147200388317e+00,3.714641381308164370e+01,9.907428060263320901e+00
3.921746571211369314e+01,1.001915178774543946e+01,4.000813801748856946e+01,1.000332356723234817e+01
3.764569416965268545e+01,9.982659597797063356e+00,4.202172357070444519e+01,1.003062171265334790e+01
3.989240136184371721e+01,9.983592670866320518e+00,4.325805662672330953e+01,9.900281965422054853e+00
4.367839671566614612e+01,9.918587596450400667e+00,4.174813705616578829e+01,1.008144731512340719e+01
4.302992850917463841e+01,9.940727684024011523e+00,4.371782208153739191e+01,9.907819777434726305e+00
4.310005916257978953e+01,9.990679572790307716e+00,4.206144593100943752e+01,1.004855808958903118e+01
4.701604872649799916e+01,9.990737428270072940e+00,4.512987568637881708e+01,1.007358212409416964e+01
4.515983376401849370e+01,1.008369541818476200e+01,4.670650372057699684e+01,9.985808536664000812e+00
4.463332959505330422e+01,1.005153800726450619e+01,4.719940683138912618e+01,9.998083811984272984e+00
4.775851202211951119e+01,1.003792295645228627e+01,4.846315600058661488e+01,1.009354736953221554e+01
4.917202373997625386e+01,1.002291851855673777e+01,5.090883321298301922e+01,9.983010997535338049e+00
4.945046309053679323e+01,1.003826770632558762e+01,5.013842267138840469e+01,1.005149044340536157e+01
5.017047785697432261e+01,1.002603393879373783e+01,4.877537260878921899e+01,1.004585248524399610e+01
5.347136781730475263e+01,9.954867664557120577e+00,5.264095138400369223e+01,9.948660502886438550e+00
5.530207392720072335e+01,9.926093027189459406e+00,5.377551465868194924e+01,9.944375038499973840e+00
5.232941619723966653e+01,1.005810213111426066e+01,5.305163438633810813e+01,9.917397111040061830e+00
5.388501256903966663e+01,9.967486553132342664e+00,5.584458317035953456e+01,9.909293636596112620e+00
5.809671224183150429e+01,1.009695668413935365e+01,5.404417432972631730e+01,9.906122215489530092e+00
5.858807180164421879e+01,9.939856930692050341e+00,5.554844732400922425e+01,9.929044839913521159e+00
5.895282466934433074e+01,1.002728320134302464e+01,5.968679896110975847e+01,9.930333112956709840e+00
5.751881670413331449e+01,1.008510093639387506e+01,6.116310966086149392e+01,9.973776399075479304e+00
6.158936411268311417e+01,1.005934639523416863e+01,5.752930956178904864e+01,1.001287934643180755e+01
6.206105780801671301e+01,9.970051150980232535e+00,5.922858868785681352e+01,1.004818558748457136e+01
6.304274476134024496e+01,1.000744856978510278e+01,6.384672319371363614e+01,9.947489252806670734e+00
6.381925244466215474e+01,9.959515943428586482e+00,6.110210896094629618e+01,9.973327377913546954e+00
6.359572716265933678e+01,1.000775979853181497e+01,6.191935637726845698e+01,1.007679174926144405e+01
6.617234967811002377e+01,9.994040854326341261e+00,6.534107241503565433e+01,1.008872960796556661e+01
6.738726944587719458e+01,9.982918818427277685e+00,6.364989258012396789e+01,9.932150401101038639e+00
6.645455563492318163e+01,9.977403676683966438e+00,6.462185749497322718e+01,9.952272331750071643e+00
6.789348789273100238e+01,1.003879903354490111e+01,6.632962451108917890e+01,1.001587258955430748e+01
7.148284688579796864e+01,1.009153559055314453e+01,7.146027307713960397e+01,9.948179326302200920e+00
6.798900147974083552e+01,9.948431253956327325e+00,6.986583034991419083e+01,1.009796500578138456e+01
6.958431916662028982e+01,1.002169074933901172e+01,7.264077905172226224e+01,9.911092765741644328e+00
6.975906925155217664e+01,9.958778346064089959e+00,7.310177521448977700e+01,9.978414882474700320e+00
7.390269697033679108e+01,1.002355981921337147e+01,7.180054197293178220e+01,1.009481678785184400e+01
7.164706080928637277e+01,1.004441516529662337e+01,7.222223597545810492e+01,1.001200768016412468e+01
7.553585343407324615e+01,9.970519239705863512e+00,7.393950045067035148e+01,9.901104962216040306e+00
7.544305646238908025e+01,1.009222863050669616e+01,7.553539638370205012e+01,1.006131312473065975e+01
7.641368276654641534e+01,1.009793086168099663e+01,7.616788517651349366e+01,9.974409037247198739e+00
7.892477427925363997e+01,1.002232727563204762e+01,7.923404005690048280e+01,1.004089857654494899e+01
7.922260053924613032e+01,9.960434413175558888e+00,7.663372480661161035e+01,1.004623449830251758e+01
8.109936877061537075e+01,9.919933498840379116e+00,7.874452349085196090e+01,1.009643318913169630e+01
7.932565375742899505e+01,9.930911112750584024e+00,8.011587133867732291e+01,1.005858991932699098e+01
8.000419369505921452e+01,1.007243328005793970e+01,8.428149914937684173e+01,1.002243744255735614e+01
8.354206054782135027e+01,9.913975339603513959e+00,8.075279898238852638e+01,9.930176113310489328e+00
8.509824536418580010e+01,9.901438151568360269e+00,8.401089295322026373e+01,1.003123870212113644e+01
8.712906305728802181e+01,1.000999795574547946e+01,8.695637497173235886e+01,9.968767948444833493e+00
8.633171078742249449e+01,1.005351627617192456e+01,8.562082740513849899e+01,1.005975056212935215e+01
8.512076663031179180e+01,1.001966325949968883e+01,8.736919356666597025e+01,9.900493570812137989e+00
8.757139457098512025e+01,9.961464959888138182e+00,8.879205357819533617e+01,1.002193315888971092e+01
8.827257649587716060e+01,1.003404970661804896e+01,8.839159864495113084e+01,9.955371469801646001e+00
9.206309982174445850e+01,1.007608273035430280e+01,9.233045772535724893e+01,9.994622950430416708e+00
9.285493122710822433e+01,9.968070379975634054e+00,9.240649626200824684e+01,1.001322907691443120e+01
9.226096531174908932e+01,1.008232230941480623e+01,8.953932731453159022e+01,9.916082143391482973e+00
9.272287212972231885e+01,1.006441366139033633e+01,9.103125087942848381e+01,1.009111963395244338e+01
9.208819272425017743e+01,9.979916513198828554e+00,9.471695837036200771e+01,9.952733544648284081e+00
9.638068096223662451e+01,1.002679425162974525e+01,9.324636612875396224e+01,9.998483681021902214e+00
9.717982686283087901e+01,9.916721094951634896e+00,9.616442142908070423e+01,9.925248442874774923e+00
9.543424209506989087e+01,9.955419499143285833e+00,9.570339493535119857e+01,1.007426454971850838e+01
9.994286959328472619e+01,9.901163716902750878e+00,9.872469769315921440e+01,9.981707721273279432e+00
1.005219332329710085e+02,1.005310877488694032e+01,9.718470216588659127e+01,9.925821780094066682e+00
9.771791517242904490e+01,9.919802846277534059e+00,9.922082339087413061e+01,1.003364169718221710e+01
9.787732501277697850e+01,9.497748024181692728e+00,9.981411588364171905e+01,1.043068213480242790e+01
1.011300015324876114e+02,9.092013335413199115e+00,9.902555979948895981e+01,1.081687216036616128e+01
9.928771425298059228e+01,8.669839707686890051e+00,1.013296385533666779e+02,1.126473327371758160e+01
1.045561082570865068e+02,8.016686963733716809e+00,1.040870914956205979e+02,1.153272048064587096e+01
1.030357511984302619e+02,7.600317878266010574e+00,1.069331588427189530e+02,1.191943223476842206e+01
1.025832140882308607e+02,6.987370476836457733e+00,1.072987439293122662e+02,1.223407954216944304e+01
1.042756672360254129e+02,6.608189501216608974e+00,1.072826003690256300e+02,1.244837573777517115e+01
1.040905441870823864e+02,5.983939112269410110e+00,1.062137796128030374e+02,1.276383295218841596e+01
1.043145790091258789e+02,5.340500152820597535e+00,1.103383442583917571e+02,1.312097453227834620e+01
1.072059018644508086e+02,4.775505503330907509e+00,1.085107040397803360e+02,1.326199176410163716e+01
1.064174848130811455e+02,4.347136284310568755e+00,1.129665158534757694e+02,1.358464137792048909e+01
1.059999489652057747e+02,3.639290811913629575e+00,1.133532537256288748e+02,1.358938770846320843e+01
1.060944497044933996e+02,3.053024394643933714e+00,1.147920449234295717e+02,1.376497440559279717e+01
